dataset,target_size,algorithm,time,oa,aa,k,selected_features,selected_weights
indian_pines,30,v4,194.521,0.792,0.743,0.743,5|6|7|8|11|24|28|30|31|34|36|37|38|45|62|67|94|99|116|126|127|130|134|148|159|174|176|178|183|184,1.7093939781188965|1.1368913650512695|3.5715858936309814|0.3980840742588043|0.7386469841003418|-1.1020050048828125|-2.8973774909973145|1.0194629430770874|2.013580083847046|0.8065479397773743|-1.0937589406967163|0.0012125136563554406|-1.926002860069275|-1.1088322401046753|-2.390106201171875|-2.894259452819824|-3.937516689300537|0.5803964138031006|-1.764756202697754|-0.8215225338935852|0.8717151284217834|2.147597312927246|-0.0005835255142301321|0.0004610604664776474|-0.8653175234794617|-1.3462525606155396|-1.1159815788269043|1.4456616640090942|2.561894655227661|2.253664255142212
indian_pines,29,v4,0.0,0.79,0.743,0.743,5|6|7|8|11|24|28|30|31|34|36|37|38|45|62|67|94|99|116|126|127|130|148|159|174|176|178|183|184,1.7093939781188965|1.1368913650512695|3.5715858936309814|0.3980840742588043|0.7386469841003418|-1.1020050048828125|-2.8973774909973145|1.0194629430770874|2.013580083847046|0.8065479397773743|-1.0937589406967163|0.0012125136563554406|-1.926002860069275|-1.1088322401046753|-2.390106201171875|-2.894259452819824|-3.937516689300537|0.5803964138031006|-1.764756202697754|-0.8215225338935852|0.8717151284217834|2.147597312927246|0.0004610604664776474|-0.8653175234794617|-1.3462525606155396|-1.1159815788269043|1.4456616640090942|2.561894655227661|2.253664255142212
indian_pines,28,v4,0.0,0.786,0.739,0.739,5|6|7|8|11|24|28|30|31|34|36|37|38|45|62|94|99|116|126|127|130|148|159|174|176|178|183|184,1.7093939781188965|1.1368913650512695|3.5715858936309814|0.3980840742588043|0.7386469841003418|-1.1020050048828125|-2.8973774909973145|1.0194629430770874|2.013580083847046|0.8065479397773743|-1.0937589406967163|0.0012125136563554406|-1.926002860069275|-1.1088322401046753|-2.390106201171875|-3.937516689300537|0.5803964138031006|-1.764756202697754|-0.8215225338935852|0.8717151284217834|2.147597312927246|0.0004610604664776474|-0.8653175234794617|-1.3462525606155396|-1.1159815788269043|1.4456616640090942|2.561894655227661|2.253664255142212
indian_pines,27,v4,0.0,0.785,0.737,0.737,5|6|7|8|11|24|28|30|31|34|36|37|38|62|94|99|116|126|127|130|148|159|174|176|178|183|184,1.7093939781188965|1.1368913650512695|3.5715858936309814|0.3980840742588043|0.7386469841003418|-1.1020050048828125|-2.8973774909973145|1.0194629430770874|2.013580083847046|0.8065479397773743|-1.0937589406967163|0.0012125136563554406|-1.926002860069275|-2.390106201171875|-3.937516689300537|0.5803964138031006|-1.764756202697754|-0.8215225338935852|0.8717151284217834|2.147597312927246|0.0004610604664776474|-0.8653175234794617|-1.3462525606155396|-1.1159815788269043|1.4456616640090942|2.561894655227661|2.253664255142212
indian_pines,26,v4,0.0,0.788,0.752,0.752,5|6|7|8|11|24|28|30|34|36|37|38|62|94|99|116|126|127|130|148|159|174|176|178|183|184,1.7093939781188965|1.1368913650512695|3.5715858936309814|0.3980840742588043|0.7386469841003418|-1.1020050048828125|-2.8973774909973145|1.0194629430770874|0.8065479397773743|-1.0937589406967163|0.0012125136563554406|-1.926002860069275|-2.390106201171875|-3.937516689300537|0.5803964138031006|-1.764756202697754|-0.8215225338935852|0.8717151284217834|2.147597312927246|0.0004610604664776474|-0.8653175234794617|-1.3462525606155396|-1.1159815788269043|1.4456616640090942|2.561894655227661|2.253664255142212
indian_pines,25,v4,0.0,0.787,0.756,0.756,5|6|7|8|11|28|30|34|36|37|38|62|94|99|116|126|127|130|148|159|174|176|178|183|184,1.7093939781188965|1.1368913650512695|3.5715858936309814|0.3980840742588043|0.7386469841003418|-2.8973774909973145|1.0194629430770874|0.8065479397773743|-1.0937589406967163|0.0012125136563554406|-1.926002860069275|-2.390106201171875|-3.937516689300537|0.5803964138031006|-1.764756202697754|-0.8215225338935852|0.8717151284217834|2.147597312927246|0.0004610604664776474|-0.8653175234794617|-1.3462525606155396|-1.1159815788269043|1.4456616640090942|2.561894655227661|2.253664255142212
indian_pines,24,v4,0.0,0.786,0.755,0.755,5|6|7|8|11|28|30|34|36|37|38|62|94|99|116|126|127|130|148|159|174|176|178|183,1.7093939781188965|1.1368913650512695|3.5715858936309814|0.3980840742588043|0.7386469841003418|-2.8973774909973145|1.0194629430770874|0.8065479397773743|-1.0937589406967163|0.0012125136563554406|-1.926002860069275|-2.390106201171875|-3.937516689300537|0.5803964138031006|-1.764756202697754|-0.8215225338935852|0.8717151284217834|2.147597312927246|0.0004610604664776474|-0.8653175234794617|-1.3462525606155396|-1.1159815788269043|1.4456616640090942|2.561894655227661
indian_pines,23,v4,0.0,0.784,0.752,0.752,5|6|7|8|11|28|30|34|36|37|38|62|94|99|116|127|130|148|159|174|176|178|183,1.7093939781188965|1.1368913650512695|3.5715858936309814|0.3980840742588043|0.7386469841003418|-2.8973774909973145|1.0194629430770874|0.8065479397773743|-1.0937589406967163|0.0012125136563554406|-1.926002860069275|-2.390106201171875|-3.937516689300537|0.5803964138031006|-1.764756202697754|0.8717151284217834|2.147597312927246|0.0004610604664776474|-0.8653175234794617|-1.3462525606155396|-1.1159815788269043|1.4456616640090942|2.561894655227661
indian_pines,22,v4,0.0,0.777,0.744,0.744,5|6|7|8|11|28|30|36|37|38|62|94|99|116|127|130|148|159|174|176|178|183,1.7093939781188965|1.1368913650512695|3.5715858936309814|0.3980840742588043|0.7386469841003418|-2.8973774909973145|1.0194629430770874|-1.0937589406967163|0.0012125136563554406|-1.926002860069275|-2.390106201171875|-3.937516689300537|0.5803964138031006|-1.764756202697754|0.8717151284217834|2.147597312927246|0.0004610604664776474|-0.8653175234794617|-1.3462525606155396|-1.1159815788269043|1.4456616640090942|2.561894655227661
indian_pines,21,v4,0.0,0.77,0.748,0.748,5|6|7|8|11|28|36|37|38|62|94|99|116|127|130|148|159|174|176|178|183,1.7093939781188965|1.1368913650512695|3.5715858936309814|0.3980840742588043|0.7386469841003418|-2.8973774909973145|-1.0937589406967163|0.0012125136563554406|-1.926002860069275|-2.390106201171875|-3.937516689300537|0.5803964138031006|-1.764756202697754|0.8717151284217834|2.147597312927246|0.0004610604664776474|-0.8653175234794617|-1.3462525606155396|-1.1159815788269043|1.4456616640090942|2.561894655227661
