dataset,target_size,algorithm,time,oa,aa,k,selected_features,selected_weights
paviaU,30,pcal,0.08,0.902,0.873,0.873,10|12|13|14|15|16|17|61|62|77|78|79|80|81|82|83|84|85|86|87|88|94|95|96|97|98|99|100|101|102,0.15847481470922545|0.15912928790389125|0.16004613308943214|0.15981446970881383|0.16019571258770213|0.1585715261056661|0.15819657351952995|0.15886594728738174|0.15885808676652197|0.15893594699948413|0.15891025825738367|0.15881597329218142|0.16144265409855119|0.16933006984389173|0.17559899726652545|0.16428462951769507|0.16990684609667128|0.16417407352008098|0.16255013572726096|0.1610614497453357|0.1590395932486931|0.15965054492019967|0.1609057807792303|0.1649884395188892|0.16536804481981826|0.16450190305530682|0.1659687862999358|0.1665982588076271|0.17481494094476907|0.17429225497004772
paviaU,29,pcal,0.0,0.903,0.873,0.873,10|12|13|14|15|16|61|62|77|78|79|80|81|82|83|84|85|86|87|88|94|95|96|97|98|99|100|101|102,0.15847481470922545|0.15912928790389125|0.16004613308943214|0.15981446970881383|0.16019571258770213|0.1585715261056661|0.15886594728738174|0.15885808676652197|0.15893594699948413|0.15891025825738367|0.15881597329218142|0.16144265409855119|0.16933006984389173|0.17559899726652545|0.16428462951769507|0.16990684609667128|0.16417407352008098|0.16255013572726096|0.1610614497453357|0.1590395932486931|0.15965054492019967|0.1609057807792303|0.1649884395188892|0.16536804481981826|0.16450190305530682|0.1659687862999358|0.1665982588076271|0.17481494094476907|0.17429225497004772
paviaU,28,pcal,0.0,0.903,0.874,0.874,12|13|14|15|16|61|62|77|78|79|80|81|82|83|84|85|86|87|88|94|95|96|97|98|99|100|101|102,0.15912928790389125|0.16004613308943214|0.15981446970881383|0.16019571258770213|0.1585715261056661|0.15886594728738174|0.15885808676652197|0.15893594699948413|0.15891025825738367|0.15881597329218142|0.16144265409855119|0.16933006984389173|0.17559899726652545|0.16428462951769507|0.16990684609667128|0.16417407352008098|0.16255013572726096|0.1610614497453357|0.1590395932486931|0.15965054492019967|0.1609057807792303|0.1649884395188892|0.16536804481981826|0.16450190305530682|0.1659687862999358|0.1665982588076271|0.17481494094476907|0.17429225497004772
paviaU,27,pcal,0.0,0.903,0.875,0.875,12|13|14|15|61|62|77|78|79|80|81|82|83|84|85|86|87|88|94|95|96|97|98|99|100|101|102,0.15912928790389125|0.16004613308943214|0.15981446970881383|0.16019571258770213|0.15886594728738174|0.15885808676652197|0.15893594699948413|0.15891025825738367|0.15881597329218142|0.16144265409855119|0.16933006984389173|0.17559899726652545|0.16428462951769507|0.16990684609667128|0.16417407352008098|0.16255013572726096|0.1610614497453357|0.1590395932486931|0.15965054492019967|0.1609057807792303|0.1649884395188892|0.16536804481981826|0.16450190305530682|0.1659687862999358|0.1665982588076271|0.17481494094476907|0.17429225497004772
paviaU,26,pcal,0.0,0.903,0.875,0.875,12|13|14|15|61|62|77|78|80|81|82|83|84|85|86|87|88|94|95|96|97|98|99|100|101|102,0.15912928790389125|0.16004613308943214|0.15981446970881383|0.16019571258770213|0.15886594728738174|0.15885808676652197|0.15893594699948413|0.15891025825738367|0.16144265409855119|0.16933006984389173|0.17559899726652545|0.16428462951769507|0.16990684609667128|0.16417407352008098|0.16255013572726096|0.1610614497453357|0.1590395932486931|0.15965054492019967|0.1609057807792303|0.1649884395188892|0.16536804481981826|0.16450190305530682|0.1659687862999358|0.1665982588076271|0.17481494094476907|0.17429225497004772
paviaU,25,pcal,0.0,0.904,0.875,0.875,12|13|14|15|61|77|78|80|81|82|83|84|85|86|87|88|94|95|96|97|98|99|100|101|102,0.15912928790389125|0.16004613308943214|0.15981446970881383|0.16019571258770213|0.15886594728738174|0.15893594699948413|0.15891025825738367|0.16144265409855119|0.16933006984389173|0.17559899726652545|0.16428462951769507|0.16990684609667128|0.16417407352008098|0.16255013572726096|0.1610614497453357|0.1590395932486931|0.15965054492019967|0.1609057807792303|0.1649884395188892|0.16536804481981826|0.16450190305530682|0.1659687862999358|0.1665982588076271|0.17481494094476907|0.17429225497004772
paviaU,24,pcal,0.0,0.895,0.864,0.864,12|13|14|15|77|78|80|81|82|83|84|85|86|87|88|94|95|96|97|98|99|100|101|102,0.15912928790389125|0.16004613308943214|0.15981446970881383|0.16019571258770213|0.15893594699948413|0.15891025825738367|0.16144265409855119|0.16933006984389173|0.17559899726652545|0.16428462951769507|0.16990684609667128|0.16417407352008098|0.16255013572726096|0.1610614497453357|0.1590395932486931|0.15965054492019967|0.1609057807792303|0.1649884395188892|0.16536804481981826|0.16450190305530682|0.1659687862999358|0.1665982588076271|0.17481494094476907|0.17429225497004772
paviaU,23,pcal,0.0,0.895,0.864,0.864,12|13|14|15|77|80|81|82|83|84|85|86|87|88|94|95|96|97|98|99|100|101|102,0.15912928790389125|0.16004613308943214|0.15981446970881383|0.16019571258770213|0.15893594699948413|0.16144265409855119|0.16933006984389173|0.17559899726652545|0.16428462951769507|0.16990684609667128|0.16417407352008098|0.16255013572726096|0.1610614497453357|0.1590395932486931|0.15965054492019967|0.1609057807792303|0.1649884395188892|0.16536804481981826|0.16450190305530682|0.1659687862999358|0.1665982588076271|0.17481494094476907|0.17429225497004772
paviaU,22,pcal,0.0,0.889,0.857,0.857,12|13|14|15|80|81|82|83|84|85|86|87|88|94|95|96|97|98|99|100|101|102,0.15912928790389125|0.16004613308943214|0.15981446970881383|0.16019571258770213|0.16144265409855119|0.16933006984389173|0.17559899726652545|0.16428462951769507|0.16990684609667128|0.16417407352008098|0.16255013572726096|0.1610614497453357|0.1590395932486931|0.15965054492019967|0.1609057807792303|0.1649884395188892|0.16536804481981826|0.16450190305530682|0.1659687862999358|0.1665982588076271|0.17481494094476907|0.17429225497004772
paviaU,21,pcal,0.0,0.889,0.858,0.858,12|13|14|15|80|81|82|83|84|85|86|87|94|95|96|97|98|99|100|101|102,0.15912928790389125|0.16004613308943214|0.15981446970881383|0.16019571258770213|0.16144265409855119|0.16933006984389173|0.17559899726652545|0.16428462951769507|0.16990684609667128|0.16417407352008098|0.16255013572726096|0.1610614497453357|0.15965054492019967|0.1609057807792303|0.1649884395188892|0.16536804481981826|0.16450190305530682|0.1659687862999358|0.1665982588076271|0.17481494094476907|0.17429225497004772
